Date,Portfolio Value,Reference Values
2015-12-04,2802060.2593741263,1646864.6183686533
2015-12-11,2650460.727482132,1580473.7634896734
2015-12-18,2619874.0730805066,1569284.8152198594
2015-12-25,2727804.0296127317,1623841.900006191
2016-01-01,2712635.292869319,1608113.4061036264
2016-01-08,2540539.135837151,1510430.6378061622
2016-01-15,2498814.7557270653,1465138.352970308
2016-01-22,2555921.6362351156,1487521.408084519
2016-01-29,2507867.6561503056,1516605.4515816197
2016-02-05,2455010.7655045087,1481480.7172482107
2016-02-12,2400789.0737533006,1456116.0060252156
2016-02-19,2502267.0640204987,1504575.65565483
2016-02-26,2598104.716018275,1540845.5935455922
2016-03-04,2683708.947433734,1597724.0368941259
2016-03-11,2739359.987750368,1618925.7784289052
2016-03-18,2825633.2830709387,1645141.6544580408
2016-03-25,2771779.284290603,1624497.0389781904
2016-04-01,2837974.1025499837,1653942.1826960782
2016-04-08,2781868.7169006453,1629021.1088871933
2016-04-15,2840964.8424775954,1661860.594680479
2016-04-22,2894559.2383687263,1682912.7375523609
2016-04-29,2851721.2709694826,1666828.3020035916
2016-05-06,2814322.398001299,1651832.325691766
2016-05-13,2771463.481051035,1638141.4687493565
2016-05-20,2848502.054682584,1646560.2624682758
2016-05-27,2921843.1149195144,1685997.5651527983
2016-06-03,2930186.4196348363,1691800.9615583036
2016-06-10,2919133.4877823363,1685811.856467822
2016-06-17,2858172.9065772407,1669670.6765986437
2016-06-24,2792377.4192252457,1638069.248705199
2016-07-01,2893721.958996207,1688710.9753832833
2016-07-08,2947826.4070520867,1709247.260796898
2016-07-15,3042334.012409809,1741085.9831211455
2016-07-22,3055654.126244297,1752734.0445288173
2016-07-29,3104339.944921484,1752826.8988713052
2016-08-05,3081419.5381850125,1753807.0280420128
2016-08-12,3083187.3806693126,1756922.8070899465
2016-08-19,3088731.3196261656,1766079.2769741882
2016-08-26,3054982.3595784646,1753048.7175783606
2016-09-02,3073234.4469925086,1760332.6248890923
2016-09-09,3027899.067866025,1715473.6603181825
2016-09-16,3041853.7044140594,1718393.4135319744
2016-09-23,3077088.47844174,1744800.1568206688
2016-09-30,3087579.0228563836,1751129.7278336065
2016-10-07,3106655.3249444924,1733972.308771642
2016-10-14,3023796.8097400717,1710681.344530881
2016-10-21,3058422.844104248,1720647.7106246022
